#size  time  space
200  20675  20
400  47321  20
600  75472  20
800  105867  20
1000  136072  20
1200  167796  20
1400  200807  20
1600  233646  20
1800  266859  20
2000  299988  20
2200  334249  20
2400  369366  20
2600  404831  20
2800  440863  20
3000  477287  20
3200  512444  20
3400  548521  20
3600  585149  20
3800  620210  20
4000  656128  20
4200  692188  20
4400  729999  20
4600  767138  20
4800  805416  20
5000  844106  20
5200  882699  20
5400  921264  20
5600  958791  20
5800  997845  20
6000  1035032  20
6200  1074372  20
6400  1112370  20
6600  1151897  20
6800  1190064  20
7000  1229027  20
7200  1267619  20
7400  1307159  20
7600  1345909  20
7800  1385510  20
8000  1424191  20
8200  1463490  20
8400  1503908  20
8600  1542627  20
8800  1583851  20
9000  1624678  20
9200  1665761  20
9400  1706165  20
9600  1745991  20
9800  1787485  20
10000  1827427  20
10200  1868673  20
10400  1909346  20
10600  1950817  20
10800  1990939  20
11000  2033140  20
11200  2072980  20
11400  2114081  20
11600  2155831  20
11800  2198127  20
12000  2240771  20
12200  2280561  20
12400  2322148  20
12600  2363014  20
12800  2405275  20
13000  2447390  20
13200  2486886  20
13400  2529297  20
13600  2571003  20
13800  2611947  20
14000  2655452  20
14200  2696823  20
14400  2737850  20
14600  2779888  20
14800  2822632  20
15000  2863172  20
15200  2905377  20
15400  2945913  20
15600  2988354  20
15800  3030843  20
16000  3072974  20
16200  3115178  20
16400  3158023  20
16600  3198681  20
16800  3242356  20
17000  3285231  20
17200  3327609  20
17400  3372670  20
17600  3415448  20
17800  3456723  20
18000  3499863  20
18200  3545413  20
18400  3586178  20
18600  3631492  20
18800  3674842  20
19000  3717525  20
19200  3760001  20
19400  3804408  20
19600  3848307  20
19800  3891786  20
20000  3936524  20
20200  3977456  20
20400  4022460  20
20600  4067594  20
20800  4110431  20
21000  4150762  20
21200  4195442  20
21400  4238636  20
21600  4284163  20
21800  4326068  20
22000  4370042  20
22200  4414437  20
22400  4459919  20
22600  4501965  20
22800  4545560  20
23000  4591339  20
23200  4634798  20
23400  4678629  20
23600  4721721  20
23800  4767626  20
24000  4810996  20
24200  4855581  20
24400  4899669  20
24600  4945653  20
24800  4988604  20
25000  5032750  20
25200  5076553  20
25400  5119621  20
25600  5164684  20
25800  5207882  20
26000  5254492  20
26200  5298566  20
26400  5343866  20
26600  5386836  20
26800  5431233  20
27000  5474368  20
27200  5519652  20
27400  5563113  20
27600  5608464  20
27800  5653450  20
28000  5696805  20
28200  5741571  20
28400  5786866  20
28600  5832218  20
28800  5877835  20
29000  5919580  20
29200  5964433  20
29400  6009309  20
29600  6054232  20
29800  6099274  20
30000  6144178  20
