#size  time  space
10  36  10
20  76  20
30  116  30
40  156  40
50  196  50
60  236  60
70  276  70
80  316  80
90  356  90
100  396  100
110  436  110
120  476  120
130  516  130
140  556  140
150  596  150
160  636  160
170  676  170
180  716  180
190  756  190
200  796  200
210  836  210
220  876  220
230  916  230
240  956  240
250  996  250
260  1036  260
270  1076  270
280  1116  280
290  1156  290
300  1196  300
310  1236  310
320  1276  320
330  1316  330
340  1356  340
350  1396  350
360  1436  360
370  1476  370
380  1516  380
390  1556  390
400  1596  400
410  1636  410
420  1676  420
430  1716  430
440  1756  440
450  1796  450
460  1836  460
470  1876  470
480  1916  480
490  1956  490
500  1996  500
510  2036  510
520  2076  520
530  2116  530
540  2156  540
550  2196  550
560  2236  560
570  2276  570
580  2316  580
590  2356  590
600  2396  600
610  2436  610
620  2476  620
630  2516  630
640  2556  640
650  2596  650
660  2636  660
670  2676  670
680  2716  680
690  2756  690
700  2796  700
710  2836  710
720  2876  720
730  2916  730
740  2956  740
750  2996  750
760  3036  760
770  3076  770
780  3116  780
790  3156  790
800  3196  800
810  3236  810
820  3276  820
830  3316  830
840  3356  840
850  3396  850
860  3436  860
870  3476  870
880  3516  880
890  3556  890
900  3596  900
910  3636  910
920  3676  920
930  3716  930
940  3756  940
950  3796  950
960  3836  960
970  3876  970
980  3916  980
990  3956  990
1000  3996  1000
