#size  time  space
10  351  10
20  1406  20
30  3161  30
40  5616  40
50  8771  50
60  12626  60
70  17181  70
80  22436  80
90  28391  90
100  35046  100
110  42401  110
120  50456  120
130  59211  130
140  68666  140
150  78821  150
160  89676  160
170  101231  170
180  113486  180
190  126441  190
200  140096  200
210  154451  210
220  169506  220
230  185261  230
240  201716  240
250  218871  250
260  236726  260
270  255281  270
280  274536  280
290  294491  290
300  315146  300
310  336501  310
320  358556  320
330  381311  330
340  404766  340
350  428921  350
360  453776  360
370  479331  370
380  505586  380
390  532541  390
400  560196  400
410  588551  410
420  617606  420
430  647361  430
440  677816  440
450  708971  450
460  740826  460
470  773381  470
480  806636  480
490  840591  490
500  875246  500
510  910601  510
520  946656  520
530  983411  530
540  1020866  540
550  1059021  550
560  1097876  560
570  1137431  570
580  1177686  580
590  1218641  590
600  1260296  600
610  1302651  610
620  1345706  620
630  1389461  630
640  1433916  640
650  1479071  650
660  1524926  660
670  1571481  670
680  1618736  680
690  1666691  690
700  1715346  700
710  1764701  710
720  1814756  720
730  1865511  730
740  1916966  740
750  1969121  750
760  2021976  760
770  2075531  770
780  2129786  780
790  2184741  790
800  2240396  800
810  2296751  810
820  2353806  820
830  2411561  830
840  2470016  840
850  2529171  850
860  2589026  860
870  2649581  870
880  2710836  880
890  2772791  890
900  2835446  900
910  2898801  910
920  2962856  920
930  3027611  930
940  3093066  940
950  3159221  950
960  3226076  960
970  3293631  970
980  3361886  980
990  3430841  990
1000  3500496  1000
