#size  time  space
10  204  10
20  657  20
30  1502  30
40  2137  40
50  3619  50
60  5003  60
70  7836  70
80  11082  80
90  14244  90
100  17196  100
110  19889  110
120  24801  120
130  28390  130
140  33190  140
150  38445  150
160  43833  160
170  51489  170
180  57346  180
190  64512  190
200  70607  200
210  77017  210
220  84099  220
230  91699  230
240  100832  240
250  109293  250
260  117754  260
270  127125  270
280  137672  280
290  148912  290
300  157261  300
310  169516  310
320  179160  320
330  188391  330
340  200947  340
350  209548  350
360  215909  360
370  225805  370
380  236793  380
390  247340  390
400  266679  400
410  283589  410
420  297013  420
430  312117  430
440  329881  440
450  346392  450
460  360320  460
470  375270  470
480  398970  480
490  412142  490
500  429808  500
510  447985  510
520  469585  520
530  489505  530
540  511672  540
550  532663  550
560  552415  560
570  575828  570
580  592556  580
590  615801  590
600  633880  600
610  650559  610
620  670444  620
630  683840  630
640  706721  640
650  725395  650
660  750649  660
670  777226  670
680  802354  680
690  824115  690
700  844504  700
710  870108  710
720  896979  720
730  920273  730
740  944736  740
750  975541  750
760  995209  760
770  1022962  770
780  1047306  780
790  1068710  790
800  1093817  800
810  1118420  810
820  1145592  820
830  1178679  830
840  1214489  840
850  1240954  850
860  1278066  860
870  1311440  870
880  1336736  880
890  1374499  890
900  1395896  900
910  1428353  910
920  1456736  920
930  1493449  930
940  1525213  940
950  1559091  950
960  1590792  960
970  1615402  970
980  1648972  980
990  1683123  990
1000  1720949  1000
