#size  time  space
200  36148  956
400  80672  1772
600  128170  2588
800  178200  3388
1000  228235  4188
1200  281706  5004
1400  335521  5804
1600  389796  6604
1800  443931  7404
2000  498376  8204
2200  555463  9020
2400  613508  9820
2600  671613  10620
2800  729948  11420
3000  788048  12220
3200  846593  13020
3400  905083  13820
3600  963493  14620
3800  1022243  15420
4000  1080653  16220
4200  1141077  17036
4400  1203302  17836
4600  1265682  18636
4800  1327742  19436
5000  1390302  20236
5200  1452437  21036
5400  1514917  21836
5600  1577407  22636
5800  1639927  23436
6000  1702122  24236
6200  1764642  25036
6400  1827662  25836
6600  1889922  26636
6800  1952727  27436
7000  2015597  28236
7200  2078077  29036
7400  2140797  29836
7600  2203697  30636
7800  2266292  31436
8000  2329312  32236
8200  2392035  33052
8400  2458590  33852
8600  2525165  34652
8800  2591485  35452
9000  2657935  36252
9200  2724260  37052
9400  2791330  37852
9600  2857130  38652
9800  2924000  39452
10000  2990355  40252
10200  3056955  41052
10400  3123450  41852
10600  3189995  42652
10800  3256310  43452
11000  3322980  44252
11200  3390255  45052
11400  3456635  45852
11600  3523320  46652
11800  3589965  47452
12000  3656760  48252
12200  3723505  49052
12400  3790035  49852
12600  3856760  50652
12800  3923965  51452
13000  3990605  52252
13200  4057540  53052
13400  4124395  53852
13600  4191305  54652
13800  4258045  55452
14000  4324995  56252
14200  4392035  57052
14400  4458720  57852
14600  4525175  58652
14800  4592650  59452
15000  4659565  60252
15200  4726585  61052
15400  4793775  61852
15600  4860210  62652
15800  4927485  63452
16000  4994460  64252
16200  5061345  65052
16400  5129001  65868
16600  5199216  66668
16800  5269871  67468
17000  5340346  68268
17200  5411336  69068
17400  5481771  69868
17600  5552401  70668
17800  5623111  71468
18000  5693761  72268
18200  5765146  73068
18400  5834761  73868
18600  5905221  74668
18800  5976971  75468
19000  6046436  76268
19200  6117406  77068
19400  6188601  77868
19600  6258656  78668
19800  6329371  79468
20000  6400106  80268
20200  6471291  81068
20400  6542391  81868
20600  6612626  82668
20800  6683706  83468
21000  6754471  84268
21200  6824961  85068
21400  6896041  85868
21600  6965921  86668
21800  7038521  87468
22000  7108741  88268
22200  7179511  89068
22400  7250426  89868
22600  7320696  90668
22800  7392191  91468
23000  7462861  92268
23200  7533701  93068
23400  7604541  93868
23600  7675396  94668
23800  7746381  95468
24000  7817461  96268
24200  7888096  97068
24400  7959081  97868
24600  8029766  98668
24800  8100656  99468
25000  8171681  100268
25200  8243056  101068
25400  8314416  101868
25600  8385571  102668
25800  8456256  103468
26000  8526951  104268
26200  8597536  105068
26400  8669151  105868
26600  8740476  106668
26800  8811561  107468
27000  8882681  108268
27200  8953481  109068
27400  9024466  109868
27600  9095451  110668
27800  9166416  111468
28000  9238086  112268
28200  9309171  113068
28400  9380371  113868
28600  9451221  114668
28800  9522501  115468
29000  9593726  116268
29200  9664061  117068
29400  9735811  117868
29600  9807196  118668
29800  9878276  119468
30000  9949151  120268
