#size  time  space
200  12298  124
400  28443  172
600  44619  232
800  61868  220
1000  77036  232
1200  95067  220
1400  113816  220
1600  129970  208
1800  151768  244
2000  167258  244
2200  188578  232
2400  204979  220
2600  226159  244
2800  250553  244
3000  270469  268
3200  278641  232
3400  302430  244
3600  319841  244
3800  347149  244
4000  356464  232
4200  375598  244
4400  408266  268
4600  419837  256
4800  441890  268
5000  460578  280
5200  475326  244
5400  499977  268
5600  535195  256
5800  552194  292
6000  564675  292
6200  575574  268
6400  616083  256
6600  618507  244
6800  641212  256
7000  665127  268
7200  692388  268
7400  703297  280
7600  728522  280
7800  742465  268
8000  777371  304
8200  789434  292
8400  806812  280
8600  824947  292
8800  851974  280
9000  882309  292
9200  888589  280
9400  915797  268
9600  954758  316
9800  970250  292
10000  993750  304
10200  1015168  268
10400  1020289  280
10600  1046918  304
10800  1058348  292
11000  1088248  292
11200  1110026  292
11400  1143706  304
11600  1156819  304
11800  1208818  304
12000  1203749  304
12200  1232351  316
12400  1291879  304
12600  1261853  304
12800  1282660  304
13000  1336915  328
13200  1324020  280
13400  1349841  304
13600  1386936  292
13800  1374420  268
14000  1406630  280
14200  1429562  292
14400  1446682  292
14600  1504941  316
14800  1507517  304
15000  1534371  316
15200  1554899  292
15400  1559836  292
15600  1588776  304
15800  1625726  316
16000  1651967  292
16200  1640201  304
16400  1672668  292
16600  1755400  340
16800  1722958  304
17000  1733924  292
17200  1773143  316
17400  1780041  292
17600  1804810  292
17800  1851774  316
18000  1846333  292
18200  1876576  292
18400  1955853  352
18600  1936835  292
18800  1941883  304
19000  1958023  316
19200  2034682  316
19400  2007061  304
19600  2029408  304
19800  2052235  292
20000  2114085  304
20200  2095678  304
20400  2128638  316
20600  2143752  328
20800  2170757  304
21000  2194850  304
21200  2276012  328
21400  2217950  292
21600  2249650  304
21800  2281643  316
22000  2328088  316
22200  2397725  352
22400  2361167  316
22600  2356145  292
22800  2399580  328
23000  2450528  328
23200  2488723  340
23400  2472226  304
23600  2472868  304
23800  2505154  304
24000  2541771  304
24200  2552468  304
24400  2613194  328
24600  2612074  316
24800  2663082  316
25000  2674860  316
25200  2781699  352
25400  2707702  316
25600  2733031  340
25800  2754988  316
26000  2762464  328
26200  2816372  328
26400  2808378  316
26600  2868461  328
26800  2882591  316
27000  2936216  340
27200  2892069  304
27400  2959597  340
27600  3000104  340
27800  2944988  316
28000  2974483  328
28200  3029308  316
28400  3067296  328
28600  3164631  352
28800  3110407  316
29000  3141249  340
29200  3189867  328
29400  3207235  328
29600  3190927  316
29800  3230338  316
30000  3353533  328
